i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.899953e+03,miss,53.741090,58.348096,10.363151,-7.335966e+04,-5.697415e+04,-1.524589e+04
1,3.238924e+03,miss,-7.044606,-14.697498,-78.322137,-1.959971e+04,1.876848e+04,1.198658e+05
2,3.510271e+03,miss,77.780168,17.166498,-7.453646,-1.222584e+05,-3.426300e+04,1.576496e+04
3,3.883318e+03,miss,60.829508,27.163487,-44.293521,-8.083416e+04,-6.743374e+04,8.383181e+04
4,7.665130e+03,miss,-69.816556,-11.926889,-37.194056,1.625623e+05,-1.819864e+04,9.480208e+04
5,9.139734e+03,miss,0.910003,-11.850085,79.112245,-2.512097e+04,7.155695e+04,-1.920163e+05
6,9.740746e+03,miss,2.937395,-72.888083,32.843554,4.526380e+04,1.888820e+05,-8.774518e+04
7,1.024116e+04,miss,0.381819,-18.105584,77.923309,4.015974e+04,1.334920e+04,-2.143992e+05
8,1.044729e+04,miss,-73.518964,31.043370,5.592054,2.172738e+05,-3.483627e+04,-1.725817e+04
9,1.146516e+04,miss,12.662377,21.881220,-75.900437,1.762612e+04,-4.312688e+04,2.264848e+05
10,1.206476e+04,miss,-67.388470,-1.915574,43.071158,1.753996e+05,9.888050e+03,-1.593717e+05
11,1.225458e+04,miss,15.464628,9.914339,77.862386,-8.686001e+04,9.694858e+03,-2.225054e+05
12,1.466918e+04,hit,68.127674,-40.976873,8.917170,-1.870386e+05,1.796402e+05,-3.396175e+04
13,1.475263e+04,miss,3.886808,-30.452448,73.875173,-3.960157e+04,4.133339e+04,-2.559684e+05
14,1.654991e+04,miss,-41.723531,-44.176395,-52.034538,1.901749e+05,1.043622e+05,1.735509e+05
15,1.725839e+04,miss,-27.699135,74.977564,-3.335078,1.113278e+05,-2.607633e+05,9.509791e+03
16,1.757501e+04,miss,41.977585,-64.778756,21.014165,-1.861810e+05,2.079840e+05,-6.354188e+04
17,1.815595e+04,miss,33.942484,70.207062,-17.857105,-5.978896e+04,-2.749078e+05,7.428602e+04
18,1.825569e+04,miss,-56.868556,0.543094,-56.264308,2.279510e+05,-4.165902e+04,1.773003e+05
19,1.870229e+04,miss,27.099004,-41.515503,62.786200,-4.656420e+04,1.943685e+05,-2.174117e+05
20,1.886954e+04,miss,-11.866696,76.199052,21.281119,2.076682e+04,-2.888369e+05,-6.432029e+04
21,1.895740e+04,miss,4.257924,67.077869,43.386975,-4.928606e+04,-2.601281e+05,-1.353113e+05
22,1.921425e+04,miss,-31.389612,-68.197737,27.636225,1.316493e+05,2.554245e+05,-8.384177e+04
23,2.030495e+04,hit,6.312052,-9.216022,-79.216305,2.079140e+04,9.326685e+04,2.925029e+05
24,2.070344e+04,hit,-65.819894,42.489585,-16.198048,2.239281e+05,-2.003773e+05,7.907224e+04
25,2.079437e+04,miss,45.576986,-11.368477,64.757209,-2.102369e+05,-1.115366e+04,-2.294500e+05
26,2.210366e+04,miss,-26.974249,-37.748659,-65.172300,2.992509e+04,1.693193e+05,2.711317e+05
27,2.246044e+04,hit,7.041686,23.279307,-76.213441,2.321954e+04,-3.248328e+04,3.211642e+05
28,2.299430e+04,miss,-23.776736,15.023657,-74.892967,1.361774e+05,7.986932e+03,2.976949e+05
29,2.441005e+04,hit,-21.840306,24.666841,72.900946,1.173812e+04,-8.555913e+04,-3.261507e+05
30,2.463486e+04,miss,-16.280917,5.031049,-78.164060,8.507329e+04,5.981853e+04,3.225912e+05
31,2.478934e+04,miss,28.471008,-18.339959,-72.477911,-1.852393e+05,6.724875e+04,2.770653e+05
32,2.645826e+04,miss,32.717810,-72.387345,9.466638,-2.179239e+05,2.718370e+05,-4.469652e+04
33,2.693198e+04,hit,29.125041,-57.430801,-47.470361,-4.965102e+04,2.586519e+05,2.371224e+05
34,2.787679e+04,hit,-19.541982,77.491669,-3.626584,1.279334e+04,-3.598033e+05,1.941579e+04
35,3.028632e+04,miss,42.878001,-42.042551,-52.857364,-2.384568e+05,1.137968e+05,2.672529e+05
36,3.039612e+04,hit,-1.293430,-4.617847,79.856136,-8.478480e+04,6.846503e+03,-3.667590e+05
37,3.068151e+04,miss,73.337347,31.842024,2.778328,-3.223280e+05,-1.976428e+05,-1.097208e+04
38,3.114148e+04,hit,23.461836,-13.552139,-75.272052,-4.983617e+04,1.354090e+05,3.527097e+05
39,3.227480e+04,miss,78.676501,-5.266376,13.500872,-3.841395e+05,1.335179e+04,-5.260297e+04
40,3.268427e+04,miss,-42.425051,16.881947,-65.689534,2.277420e+05,1.223421e+04,3.168625e+05
41,3.271612e+04,miss,42.536214,61.424626,-28.595207,-1.234442e+05,-3.358494e+05,1.566307e+05
42,3.306776e+04,hit,-10.977021,-76.559465,20.448797,1.600565e+04,3.703422e+05,-1.296024e+05
43,3.360805e+04,hit,21.185985,-35.104952,-68.693496,-1.814481e+04,2.164742e+05,3.309616e+05
44,3.409497e+04,miss,-34.142577,-36.162701,62.662138,9.182114e+04,2.390988e+05,-3.056096e+05
45,3.451595e+04,miss,56.655367,-19.379548,53.052828,-2.725134e+05,1.741764e+05,-2.373999e+05
46,3.453972e+04,miss,13.089955,-60.587093,50.575263,3.427875e+04,3.098697e+05,-2.527377e+05
47,3.500898e+04,hit,42.686350,-4.512966,-67.509323,-2.608202e+05,7.308566e+04,2.998169e+05
48,3.579565e+04,hit,16.867994,34.095228,70.377455,-9.817544e+04,-7.799163e+04,-3.888525e+05
49,3.587365e+04,miss,58.566679,43.478734,-32.856412,-2.451975e+05,-2.899592e+05,1.519638e+05
50,3.592997e+04,miss,1.349973,-73.061290,-32.561103,-1.007091e+05,3.506230e+05,1.856743e+05
51,3.650098e+04,hit,-12.082958,26.197890,74.616839,-3.915546e+04,-1.508520e+05,-3.820040e+05
52,3.668692e+04,miss,-54.701635,-33.752785,-47.628569,2.828656e+05,2.200542e+05,2.065112e+05
53,3.707648e+04,hit,50.269159,-60.589827,-14.208609,-2.446445e+05,3.309046e+05,5.959487e+04
54,3.708001e+04,miss,-75.719352,-13.729655,-21.864955,3.658109e+05,1.407184e+05,1.389155e+05
55,3.771717e+04,hit,-54.084270,57.430056,13.292115,2.691758e+05,-3.081404e+05,-9.209765e+04
56,3.787771e+04,miss,50.476481,27.036624,55.867216,-2.681918e+05,-2.027852e+05,-2.521668e+05
57,3.867618e+04,hit,-1.851325,-13.690917,-78.798042,1.063814e+05,3.301270e+04,4.098212e+05
58,3.888406e+04,hit,-67.789688,17.208450,-38.838478,3.106393e+05,-1.762854e+05,2.318541e+05
59,3.890475e+04,miss,41.333722,57.188088,37.696764,-2.781419e+05,-2.732082e+05,-1.715242e+05
60,3.935054e+04,miss,71.746508,6.759560,-34.738264,-3.495205e+05,-1.069466e+05,2.233896e+05
61,3.972828e+04,hit,36.998520,-7.036965,-70.580384,-2.656575e+05,5.917841e+04,3.334525e+05
62,3.986186e+04,miss,63.067289,8.807561,-48.424621,-3.706385e+05,-4.793013e+03,2.202127e+05
63,4.019012e+04,hit,0.702201,-65.349908,-46.139965,-1.450929e+03,3.034847e+05,3.087317e+05
64,4.121225e+04,hit,19.867858,0.531158,77.491845,-1.925520e+04,-6.674311e+04,-4.328527e+05
65,4.233009e+04,hit,-0.033252,-1.593388,79.984123,-1.069216e+05,-3.900451e+03,-4.312218e+05
66,4.261990e+04,hit,-48.273784,-13.703955,62.304441,2.149861e+05,-3.777247e+03,-3.905354e+05
67,4.396431e+04,miss,-15.596212,-59.683194,50.937948,8.716746e+03,3.730597e+05,-2.564589e+05
68,4.398936e+04,hit,-9.459300,23.817569,75.784200,6.510953e+04,-2.233376e+05,-3.886110e+05
69,4.450676e+04,hit,36.295609,13.139088,70.071343,-2.340761e+05,3.331354e+04,-3.894212e+05
70,4.471404e+04,miss,-79.067152,11.098719,-5.020354,4.552232e+05,2.559426e+04,2.517185e+04
71,4.473911e+04,hit,38.959117,-67.138933,-19.353317,-2.236204e+05,3.882500e+05,8.882395e+04
72,4.493247e+04,hit,0.415138,-0.034292,79.998916,1.069597e+05,2.057611e+04,-4.446029e+05
73,4.514527e+04,hit,-58.372717,3.800767,-54.572704,2.642513e+05,-5.652561e+04,3.708153e+05
74,4.531716e+04,hit,32.032550,31.044391,66.409047,-2.337639e+05,-2.192777e+05,-3.295470e+05
75,4.632591e+04,hit,8.093611,8.189046,-79.167121,1.353693e+04,-1.409319e+05,4.427059e+05
76,4.646122e+04,miss,-4.401264,77.625787,18.837889,1.013599e+05,-4.445813e+05,-9.347849e+04
77,4.690346e+04,miss,5.271983,-78.910601,12.055012,-1.113230e+05,4.458010e+05,-8.715244e+04
78,4.698395e+04,hit,19.889645,76.589998,-11.763257,-8.396829e+04,-4.515181e+05,9.045998e+04
79,4.872734e+04,miss,-60.533004,27.603091,-44.427748,3.560840e+05,-2.248783e+05,2.233075e+05
80,4.916422e+04,hit,19.701584,-3.330635,77.464537,-1.019767e+05,-9.757821e+04,-4.575466e+05
81,4.922335e+04,hit,-0.051777,53.071740,-59.861404,-2.143819e+02,-3.706218e+05,3.036195e+05
82,4.947756e+04,hit,-3.796655,-8.292491,79.478425,4.167655e+04,1.588877e+05,-4.513852e+05
83,4.958824e+04,miss,-42.254656,-60.220302,31.433411,2.200889e+05,3.980209e+05,-1.561642e+05
84,5.047077e+04,hit,19.398042,33.240921,70.133851,-1.588602e+05,-2.670160e+05,-3.725968e+05
85,5.067026e+04,hit,70.526653,-23.329140,-29.694148,-3.844561e+05,1.941446e+05,2.253756e+05
86,5.067391e+04,hit,-2.361393,-13.221748,78.864499,-1.043397e+05,6.452325e+04,-4.703826e+05
87,5.107179e+04,hit,5.253927,2.287554,-79.794507,-8.737245e+04,9.038942e+04,4.715518e+05
88,5.131430e+04,hit,-1.733086,-40.984693,68.682249,1.256250e+05,2.077074e+05,-4.247025e+05
89,5.185415e+04,hit,-0.945124,30.332444,74.020603,7.527094e+04,-8.681691e+04,-4.781326e+05
90,5.283787e+04,miss,57.847282,44.978653,32.103158,-4.205179e+05,-1.708182e+05,-2.009651e+05
91,5.285581e+04,hit,-48.798408,-25.553837,-58.014798,2.926092e+05,4.493470e+04,3.985543e+05
92,5.342321e+04,miss,66.679640,-28.734759,33.587784,-4.356810e+05,1.740219e+05,-1.703795e+05
93,5.358727e+04,hit,4.657246,77.444460,19.510655,-7.741946e+04,-4.681435e+05,-1.573014e+05
94,5.367528e+04,miss,16.708559,77.931920,-6.887658,-1.934731e+04,-4.985678e+05,3.690594e+04
95,5.397847e+04,miss,-17.850745,-72.474244,28.789492,-9.185554e+03,4.702190e+05,-1.747278e+05
96,5.402079e+04,hit,0.228118,-0.778743,79.995884,-6.366346e+04,-1.000815e+05,-4.876968e+05
97,5.440034e+04,miss,12.642162,30.158330,73.011306,3.820175e+04,-2.260925e+05,-4.484532e+05
98,5.443934e+04,miss,-55.819918,-43.863613,36.879808,2.703770e+05,3.216065e+05,-2.780914e+05
99,5.456988e+04,miss,34.768965,-59.352790,40.845628,-3.147438e+05,2.907952e+05,-2.661814e+05
100,5.491056e+04,hit,51.655880,13.755532,-59.518530,-3.831884e+05,-8.667710e+04,3.189365e+05
101,5.516501e+04,hit,4.066377,21.698316,76.893743,-5.480802e+04,-2.370358e+05,-4.450432e+05
102,5.543722e+04,hit,-5.488497,74.026795,29.831359,6.260144e+04,-4.419476e+05,-2.434875e+05
103,5.584831e+04,hit,-5.611114,1.088713,-79.795552,1.532968e+05,1.939087e+04,4.863783e+05
104,5.613018e+04,miss,75.200410,15.149357,-22.702318,-4.940258e+05,1.399654e+04,1.322757e+05
105,5.677539e+04,miss,-74.355500,-17.371724,23.863838,4.941139e+05,6.966990e+04,-1.255415e+05
106,5.706815e+04,miss,24.202786,-26.593739,71.463265,-2.349024e+05,7.124861e+04,-4.537321e+05
107,5.744044e+04,miss,39.885980,-18.186084,-66.920662,-3.365242e+05,5.442578e+04,3.894275e+05
108,5.760043e+04,hit,35.327703,-12.656037,70.652517,-2.689210e+05,1.696943e+05,-4.092626e+05
109,5.775387e+04,hit,4.622663,3.207307,79.801906,4.927300e+04,-1.188514e+05,-5.027650e+05
110,5.842946e+04,hit,-29.658475,-57.780829,-46.709214,1.982546e+05,4.120805e+05,2.517169e+05
111,5.846833e+04,hit,-19.391395,28.200075,72.309955,1.568787e+05,-5.825497e+04,-4.946244e+05
112,5.877100e+04,hit,-5.669915,-3.402208,79.726263,4.623702e+04,-1.059143e+05,-5.106012e+05
113,5.939385e+04,hit,16.405785,8.663243,-77.819011,-2.134329e+05,-1.226484e+03,4.810601e+05
114,5.964629e+04,miss,37.116365,-66.270199,-25.112470,-3.369212e+05,3.775945e+05,1.485182e+05
115,5.989164e+04,miss,41.114080,66.080781,-18.519255,-3.395849e+05,-3.914744e+05,1.035622e+05
116,6.055544e+04,hit,-39.367338,-68.566385,-12.200963,2.600035e+05,4.508128e+05,1.075025e+05
117,6.151547e+04,hit,-70.822878,-34.190982,14.666177,4.332499e+05,2.890196e+05,-1.250198e+05
118,6.157589e+04,hit,78.234384,15.769643,-5.540714,-5.237991e+05,-1.016906e+05,4.942670e+04
119,6.323457e+04,miss,61.707565,49.234033,-12.968672,-4.191982e+05,-3.378997e+05,7.057705e+04
120,6.337064e+04,hit,11.028644,-79.165463,3.346415,-1.519155e+05,5.211556e+05,-2.893920e+04
121,6.356749e+04,miss,-62.927587,5.211379,-49.121892,4.129099e+05,1.005273e+05,3.403479e+05
122,6.429520e+04,hit,-14.972768,78.213017,-7.651153,1.504731e+05,-5.220102e+05,6.851081e+04
123,6.434744e+04,hit,-16.228681,-11.402087,-77.502402,1.668712e+05,-4.447791e+04,5.198557e+05
124,6.456780e+04,hit,3.070984,24.645200,-76.047243,-9.190370e+04,-2.564193e+05,4.763451e+05
125,6.494029e+04,hit,31.597856,-13.453557,-72.253562,-9.320352e+04,5.647252e+04,5.394097e+05
126,6.499127e+04,hit,46.087791,44.915415,-47.523899,-2.579220e+05,-2.738989e+05,4.019107e+05
127,6.504597e+04,miss,57.193215,41.479560,37.528420,-3.389901e+05,-3.704608e+05,-2.262215e+05
128,6.517635e+04,miss,-37.850993,68.080272,-18.231263,3.538597e+05,-3.961856e+05,1.475126e+05
129,6.519650e+04,miss,78.937185,-12.834195,2.050420,-5.492848e+05,-4.556633e+04,-1.560511e+04
130,6.610167e+04,hit,19.451463,30.472472,71.365741,-2.340257e+05,-1.156109e+05,-4.900212e+05
131,6.684900e+04,miss,-63.202522,32.637920,-36.608844,4.905047e+05,-1.514774e+05,2.195439e+05
132,6.780905e+04,hit,19.550793,-14.649034,-76.178555,-6.751751e+04,2.174861e+05,5.141576e+05
133,6.856136e+04,hit,78.256742,15.644852,-5.578619,-5.634335e+05,2.804004e+04,3.849204e+04
134,6.870528e+04,hit,-38.096836,-23.136209,-66.433026,3.615734e+05,1.005167e+05,4.237420e+05
135,6.941241e+04,hit,-25.658733,-14.077156,-74.454436,2.143925e+05,2.116556e+05,4.826299e+05
136,6.957578e+04,hit,-3.522798,-17.809374,77.912875,1.281976e+05,2.868666e+04,-5.542546e+05
137,7.055923e+04,miss,65.289964,41.349786,20.674037,-4.387551e+05,-3.488166e+05,-1.219131e+05
138,7.067200e+04,hit,20.460173,-48.919144,-59.902409,-3.699544e+04,2.999520e+05,4.880859e+05
139,7.076795e+04,hit,-73.879329,6.295438,30.036848,4.952348e+05,-1.852552e+05,-2.245846e+05
140,7.088294e+04,hit,70.685390,37.041180,5.614865,-5.564183e+05,-1.375161e+05,-4.515982e+04
141,7.118179e+04,miss,66.612018,-10.172736,-43.120233,-4.877575e+05,1.555906e+05,2.642523e+05
142,7.153133e+04,hit,5.028921,-17.607443,77.876106,-1.711999e+05,1.348274e+05,-5.348713e+05
143,7.214830e+04,hit,-16.753303,0.036071,-78.226118,1.974287e+05,1.083661e+05,5.345381e+05
144,7.229650e+04,miss,67.132954,37.083743,22.758789,-4.113708e+05,-3.596377e+05,-1.964132e+05
145,7.233894e+04,hit,14.827687,43.828622,65.262482,-2.100530e+05,-3.413035e+05,-4.203938e+05
146,7.262440e+04,hit,-62.881986,-37.548960,32.185889,4.362729e+05,2.407764e+05,-3.006079e+05
147,7.306782e+04,hit,0.686533,0.929949,-79.991649,-1.208019e+05,7.464264e+04,5.661940e+05
148,7.392218e+04,miss,31.240058,-66.903691,30.788877,-3.276352e+05,4.453961e+05,-1.974892e+05
149,7.630391e+04,miss,-28.588985,-37.580459,-64.578472,1.125151e+05,3.723747e+05,4.522264e+05
150,7.672982e+04,hit,-17.771961,30.351707,71.853541,5.383409e+04,-3.294187e+05,-4.963896e+05
151,7.680497e+04,miss,-30.014815,69.721761,-25.258403,2.971715e+05,-4.949557e+05,1.577208e+05
152,7.691222e+04,miss,-58.705577,-6.119791,54.001883,4.671383e+05,-7.598257e+04,-3.669830e+05
153,7.700676e+04,miss,-52.588182,-59.362823,10.513722,3.830341e+05,4.565106e+05,-6.318136e+04
154,7.712564e+04,miss,-24.209904,-41.513992,-63.956774,1.286479e+05,4.040263e+05,4.241176e+05
155,7.723867e+04,hit,-26.517526,55.795310,-50.830150,2.519332e+05,-3.143907e+05,4.448355e+05
156,7.730981e+04,hit,-12.872136,13.140300,77.856539,-4.026311e+04,-1.575314e+05,-5.780008e+05
157,7.783975e+04,hit,-56.286531,29.778425,48.425942,3.948447e+05,-1.278159e+05,-4.367541e+05
158,7.797296e+04,miss,-67.246789,-42.332687,9.263530,5.546972e+05,2.288209e+05,-5.972102e+04
159,7.833699e+04,miss,72.583806,23.826991,-23.745853,-4.796422e+05,-3.139024e+05,1.916270e+05
160,7.868966e+04,hit,31.663216,24.426746,-69.287624,-2.826378e+05,-2.739277e+05,4.604741e+05
161,7.883629e+04,hit,45.610312,5.446585,65.498352,-4.266953e+05,-5.438567e+04,-4.273336e+05
162,7.898282e+04,hit,-7.391481,-38.477848,-69.748270,-2.770753e+04,1.793391e+05,5.791319e+05
163,7.983941e+04,miss,-49.513829,-62.224244,-8.747816,2.745328e+05,5.417132e+05,5.913667e+04
164,8.059331e+04,miss,-57.141593,21.645232,51.636443,4.959521e+05,-5.658226e+04,-3.558991e+05
165,8.062443e+04,miss,35.755162,-59.283310,40.088122,-3.869901e+05,3.838822e+05,-2.808067e+05
166,8.156000e+04,miss,50.068094,-23.602499,57.759051,-4.611817e+05,8.450220e+04,-4.006408e+05
167,8.249154e+04,hit,0.879240,46.233961,65.281297,6.379725e+04,-4.297660e+05,-4.426256e+05
168,8.257670e+04,miss,-49.074184,-48.002227,-41.079321,4.743874e+05,2.529806e+05,3.099046e+05
169,8.283931e+04,miss,50.888826,45.210406,-42.027926,-4.797267e+05,-2.709187e+05,2.877037e+05
170,8.290058e+04,hit,34.455953,7.083431,-71.851321,-3.175915e+05,-1.697643e+05,5.068625e+05
171,8.307296e+04,hit,57.242571,22.647216,51.091992,-4.267130e+05,-4.191690e+04,-4.511726e+05
172,8.417275e+04,miss,61.122349,-46.045434,-23.321160,-5.544210e+05,2.222288e+05,1.890980e+05
173,8.457377e+04,miss,-70.996852,-33.049618,16.345327,5.115574e+05,3.476368e+05,-1.088767e+05
174,8.459560e+04,hit,-7.806838,54.995239,57.572363,-9.579667e+04,-4.165512e+05,-4.602243e+05
175,8.508644e+04,miss,49.015702,-12.114719,62.053965,-3.678529e+05,-6.111687e+04,-5.076772e+05
176,8.550460e+04,hit,75.442319,-19.342599,-18.284430,-5.357733e+05,2.940167e+05,1.588660e+05
177,8.561439e+04,hit,-79.984471,-0.931655,-1.271409,6.245524e+05,9.546313e+04,8.384939e+03
178,8.641031e+04,hit,-36.576295,-65.460630,27.876165,4.067710e+05,4.214275e+05,-2.447388e+05
179,8.652068e+04,miss,51.049069,50.060713,-35.887568,-2.942648e+05,-4.951151e+05,2.678522e+05
180,8.762063e+04,miss,57.120460,44.631375,33.842184,-4.109893e+05,-4.331807e+05,-2.281389e+05
181,8.838002e+04,hit,-33.110707,-18.466253,70.446281,3.058041e+05,2.565150e+05,-5.028223e+05
182,8.859672e+04,hit,-13.243542,-24.582093,-74.968855,1.749944e+04,3.102844e+05,5.626493e+05
183,9.012822e+04,hit,-15.134801,-46.223215,-63.516551,7.819748e+04,4.630872e+05,4.469163e+05
184,9.013808e+04,hit,8.786993,15.974193,77.894890,-6.589236e+04,-2.704260e+05,-5.855534e+05
185,9.114918e+04,hit,26.735297,44.948434,-60.538105,-3.496144e+05,-2.863122e+05,4.699521e+05
186,9.183176e+04,miss,53.627271,-25.514895,53.601361,-4.365208e+05,5.631412e+04,-4.842740e+05
187,9.196946e+04,miss,16.733112,72.534974,29.303250,9.736949e+03,-6.159556e+05,-2.222363e+05
188,9.214727e+04,miss,-53.529656,-48.135276,34.893712,4.073251e+05,4.556445e+05,-2.370414e+05
189,9.237411e+04,hit,1.171913,-4.432200,79.868531,1.097326e+05,1.393598e+05,-6.319096e+05
190,9.237462e+04,miss,-42.077039,-61.604906,28.885261,2.351611e+05,5.755414e+05,-2.102996e+05
191,9.265627e+04,hit,64.884305,-38.720978,26.281416,-5.601516e+05,2.165147e+05,-2.672817e+05
192,9.283733e+04,hit,9.937631,10.530578,-78.678780,-1.760536e+05,4.418027e+04,6.324441e+05
193,9.351354e+04,hit,-33.839334,-16.417526,-70.607112,3.378068e+05,-1.462140e+04,5.672376e+05
194,9.363514e+04,hit,-65.396002,28.116487,36.507891,5.579401e+05,-2.548276e+05,-2.458017e+05
195,9.393830e+04,hit,-1.759736,-51.654429,-61.063273,-1.213528e+05,3.483501e+05,5.495381e+05
196,9.399531e+04,hit,-12.173730,28.323259,73.821361,2.134713e+05,-1.124456e+05,-6.165374e+05
197,9.468096e+04,miss,39.674469,40.191841,-56.661737,-4.405013e+05,-2.619039e+05,4.229594e+05
198,9.489434e+04,miss,6.442012,66.699278,-43.700192,4.080068e+04,-5.868365e+05,3.106172e+05
199,9.565197e+04,hit,10.161548,9.563576,-78.773606,7.097248e+04,-1.829076e+04,6.638421e+05
200,9.625919e+04,hit,33.119768,40.644410,60.424439,-3.520394e+05,-3.731407e+05,-4.309569e+05
201,9.918193e+04,hit,41.975529,14.733884,-66.490357,-2.143952e+05,-1.031002e+05,6.371220e+05
202,1.003984e+05,miss,67.838401,-10.977551,-40.956620,-5.412686e+05,2.522266e+05,3.340693e+05
203,1.009000e+05,hit,-44.363361,-28.039808,60.379313,2.356045e+05,3.194724e+05,-5.594277e+05
204,1.009915e+05,hit,72.950796,-32.660039,-3.391634,-6.589049e+05,1.882194e+05,3.709166e+04
205,1.012161e+05,hit,-57.179673,-46.982199,-30.383516,4.928478e+05,3.430543e+05,3.337964e+05
206,1.015617e+05,hit,47.937509,7.901716,63.557518,-4.908335e+05,-1.129138e+05,-4.689883e+05
207,1.023809e+05,hit,24.351168,23.066963,72.628753,-3.374731e+05,-2.192898e+05,-5.616594e+05
208,1.026392e+05,miss,54.984224,-47.501481,33.471548,-4.386104e+05,4.779883e+05,-2.403949e+05
209,1.029563e+05,hit,6.367733,-3.874567,-79.651991,-3.778521e+03,-1.301084e+05,6.805718e+05
210,1.033358e+05,hit,-62.230748,20.774654,-45.779337,4.568649e+05,-1.801187e+05,4.906345e+05
211,1.034664e+05,hit,-64.832079,46.142410,8.226756,4.693573e+05,-5.048022e+05,-8.589387e+04
212,1.034849e+05,hit,26.912162,-19.742757,72.704602,-2.969055e+05,1.025698e+04,-6.279551e+05
213,1.041283e+05,hit,-6.602635,4.232281,79.614653,1.159476e+05,1.229803e+05,-6.760311e+05
214,1.042458e+05,miss,-11.940128,75.791719,22.650579,5.999413e+04,-6.758922e+05,-1.603251e+05
215,1.044621e+05,hit,-0.046433,-0.051313,79.999970,-9.600685e+04,1.395740e+05,-6.770851e+05
216,1.061571e+05,miss,-67.269455,3.296309,43.173542,6.142838e+05,9.153866e+04,-3.306406e+05
217,1.062380e+05,hit,-10.638749,9.154428,78.759212,1.043715e+05,-2.409513e+05,-6.530493e+05
218,1.071367e+05,hit,0.221670,-0.054072,-79.999675,-1.024237e+05,1.392217e+05,6.853773e+05
219,1.073803e+05,hit,24.970994,75.241644,-10.730536,-2.229921e+05,-6.596507e+05,1.260429e+05
220,1.092771e+05,miss,-75.155860,-6.513490,-26.630268,6.710479e+05,-1.039178e+05,2.202099e+05
221,1.094843e+05,miss,48.231058,63.546035,-5.972139,-4.819916e+05,-5.256982e+05,4.345619e+04
222,1.099667e+05,hit,-16.247474,-33.813197,-70.658951,5.225565e+04,4.191298e+05,5.782835e+05
223,1.100719e+05,miss,-2.839938,-76.244929,24.055053,-1.520806e+05,6.615308e+05,-2.292412e+05
224,1.105370e+05,miss,-56.361161,-49.376097,-28.025356,5.587629e+05,4.006400e+05,2.067447e+05
225,1.107870e+05,hit,-22.736012,34.147815,68.680423,4.889686e+04,-2.447575e+05,-6.740478e+05
226,1.118519e+05,miss,-8.977082,-72.424465,32.773600,2.030913e+05,6.444101e+05,-2.551345e+05
227,1.120706e+05,hit,-59.421230,33.564653,41.743641,4.136656e+05,-4.174421e+05,-4.210064e+05
228,1.121021e+05,hit,-14.749521,-2.992695,78.571594,2.546008e+05,1.330376e+05,-6.635135e+05
229,1.121344e+05,hit,-29.638779,-9.530468,73.693371,3.891677e+05,1.355965e+05,-5.942082e+05
230,1.121431e+05,hit,29.932343,-16.954413,-72.226053,-4.027794e+05,8.928437e+04,5.939351e+05
231,1.121773e+05,hit,39.583001,-57.213899,-39.493744,-2.062044e+05,5.590653e+05,4.099351e+05
232,1.124481e+05,hit,33.528407,52.356004,50.345752,-3.783932e+05,-4.849829e+05,-3.820922e+05
233,1.125915e+05,hit,11.689272,4.875106,-78.991102,-1.390579e+05,1.302449e+05,6.991079e+05
234,1.137189e+05,hit,-42.397720,19.683250,64.923054,3.618162e+05,-3.293930e+05,-5.393510e+05
235,1.138248e+05,hit,-31.304084,-59.338281,-43.577778,3.075433e+05,5.743869e+05,3.260379e+05
236,1.142762e+05,hit,0.843653,-0.457364,79.994244,6.976301e+04,1.633437e+05,-7.080685e+05
237,1.145561e+05,miss,-39.239199,-69.577292,-4.391549,1.881524e+05,7.050163e+05,4.201050e+04
238,1.160392e+05,miss,65.560636,43.742934,13.724382,-5.746556e+05,-4.477048e+05,-1.022833e+05
239,1.164589e+05,hit,35.335115,-32.213300,64.138389,-1.530676e+05,3.394098e+05,-6.359709e+05
240,1.166080e+05,hit,60.795070,49.706963,-15.270142,-6.448523e+05,-3.181488e+05,1.634926e+05
241,1.185449e+05,hit,27.463370,5.246113,-74.954931,-3.893857e+05,-9.291063e+04,6.265474e+05
242,1.196777e+05,hit,-15.774479,1.286573,-78.418815,-3.116623e+04,-6.952305e+04,7.431644e+05
243,1.197813e+05,hit,0.864867,-41.244907,68.542758,-1.297527e+05,4.601160e+05,-5.744900e+05
244,1.200259e+05,hit,63.538538,-13.350738,46.739834,-5.364827e+05,7.208257e+03,-5.213983e+05
245,1.203308e+05,hit,-0.086435,38.637877,-70.050746,-4.172544e+04,-4.767993e+05,5.762508e+05
246,1.210141e+05,hit,-22.380056,-3.732301,76.715077,2.398268e+05,-1.441445e+05,-6.971625e+05
247,1.210402e+05,hit,-19.691773,51.759443,-57.733821,6.289788e+04,-5.692574e+05,4.862527e+05
248,1.215402e+05,hit,44.837458,65.296686,11.222528,-4.292487e+05,-6.024083e+05,-1.401189e+05
249,1.222168e+05,hit,-33.758822,21.705460,69.204154,4.468313e+05,-1.959119e+05,-5.761068e+05
250,1.225619e+05,hit,-35.976119,62.099127,35.347098,3.279431e+05,-5.316056e+05,-4.259071e+05
251,1.227119e+05,hit,-5.959620,-7.332075,79.440063,2.110868e+05,1.500418e+05,-7.107582e+05
252,1.228852e+05,hit,-56.960852,3.180688,56.083372,4.634617e+05,-2.008095e+05,-5.638570e+05
