i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,2.199566e+01,miss,54.185043,58.830107,1.731924,-1.369557e+06,-1.067390e+06,-4.714799e+04
1,2.201126e+01,miss,-33.686044,-70.280803,-18.051569,3.359490e+05,1.647532e+06,4.383478e+05
2,2.544836e+01,miss,78.110531,17.239411,-1.244029,-1.798844e+06,-5.035188e+05,3.849412e+04
3,5.759259e+01,miss,72.698674,32.463677,-7.811053,-2.234078e+06,-1.675373e+06,3.197301e+05
4,5.990510e+01,miss,-78.601651,-13.427663,-6.440365,2.846864e+06,-2.212391e+05,2.526721e+05
5,6.050763e+01,miss,5.954254,-77.536445,18.778884,-4.515568e+05,2.791550e+06,-5.508362e+05
6,6.283054e+01,miss,3.213386,-79.736501,5.636008,6.153134e+05,2.863007e+06,-2.080765e+05
7,6.297472e+01,miss,1.644659,-77.988596,17.750325,5.726258e+05,2.780188e+06,-7.623298e+05
8,6.774676e+01,miss,-73.694226,31.117374,0.932749,3.009452e+06,-4.844734e+05,-3.977298e+04
9,8.619841e+01,miss,39.203979,67.746433,-16.536895,-1.077363e+06,-3.149284e+06,8.634128e+05
10,8.668626e+01,miss,-79.608978,-2.262952,7.568992,3.416584e+06,1.730364e+05,-4.337247e+05
11,1.121165e+02,miss,65.677726,42.105844,17.706898,-3.616483e+06,-1.292059e+06,-7.944168e+05
12,1.220006e+02,miss,68.543002,-41.226681,1.489204,-2.954199e+06,2.828451e+06,-8.883174e+04
13,1.449723e+02,miss,9.934415,-77.834377,15.592215,-1.222200e+06,4.147735e+06,-1.090391e+06
14,1.515613e+02,miss,-54.548694,-57.755529,-9.420130,3.811763e+06,2.448761e+06,5.141073e+05
15,1.519442e+02,miss,-27.722567,75.040990,-0.556003,1.792404e+06,-4.198742e+06,2.551019e+04
16,1.591906e+02,miss,43.462646,-67.070464,3.542783,-3.099113e+06,3.493135e+06,-1.741182e+05
17,1.629066e+02,miss,34.796531,71.973584,-3.000766,-1.034138e+06,-4.608208e+06,2.038056e+05
18,1.664229e+02,miss,-79.321275,0.757517,-10.371186,4.703168e+06,-6.665702e+05,5.145816e+05
19,1.763801e+02,miss,43.234565,-66.235081,11.986924,-1.674024e+06,4.575183e+06,-6.783128e+05
20,1.920995e+02,miss,-12.297851,78.967606,3.588871,3.798946e+05,-5.115846e+06,-1.867124e+05
21,2.113498e+02,miss,5.044876,79.475235,7.631265,-9.159002e+05,-5.289171e+06,-4.212988e+05
22,2.127930e+02,miss,-33.391072,-72.546151,4.700242,2.462181e+06,4.802327e+06,-2.549300e+05
23,2.206682e+02,miss,43.926598,-64.135798,-18.895858,-1.991355e+06,4.992028e+06,1.176483e+06
24,2.431454e+02,miss,-67.173235,43.363225,-2.717946,4.315044e+06,-3.830399e+06,2.483427e+05
25,2.458149e+02,miss,76.664519,-19.122783,12.524802,-5.744616e+06,2.926512e+05,-7.957131e+05
26,2.468211e+02,miss,-45.927124,-64.271940,-12.641878,2.077570e+06,5.341543e+06,1.004527e+06
27,2.513050e+02,miss,22.652096,74.886198,-16.701496,-9.496876e+05,-5.577147e+06,1.570366e+06
28,2.550892e+02,miss,-66.256322,41.864967,-16.044448,5.519891e+06,-1.786192e+06,1.154095e+06
29,2.587137e+02,miss,-52.067687,58.806196,15.191686,3.038991e+06,-4.927303e+06,-1.405354e+06
30,2.634823e+02,miss,-74.489758,23.018460,-17.928369,5.856705e+06,-2.595649e+05,1.332128e+06
31,2.716436e+02,miss,66.057372,-42.551691,-15.025882,-5.424086e+06,2.635246e+06,9.472163e+05
32,2.744954e+02,miss,32.942875,-72.885295,1.581376,-3.828541e+06,4.793629e+06,-1.305356e+05
33,2.774135e+02,miss,35.981032,-70.949925,-8.454197,-1.524727e+06,5.927910e+06,7.674744e+05
34,2.791230e+02,miss,-19.561534,77.569200,-0.604632,2.214090e+05,-6.183552e+06,5.556750e+04
35,2.869632e+02,miss,56.709490,-55.604542,-9.600454,-5.351564e+06,3.164667e+06,8.423424e+05
36,2.926738e+02,miss,-20.896657,-74.605929,19.932012,9.755485e+04,6.102611e+06,-1.701726e+06
37,2.930456e+02,miss,73.380383,31.860710,0.463145,-5.405185e+06,-3.313802e+06,-3.065535e+04
38,3.035647e+02,miss,67.834342,-39.182801,-16.223750,-4.485554e+06,4.446438e+06,1.322942e+06
