i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,1.514980e+02,5.374109,5.834810,1.036315,-2.061760e+04,-2.238506e+04,-3.975790e+03,0.000000e+00,0.000000e+00
1,1.810215e+02,1.312008,6.641518,-4.262496,-5.502113e+03,-2.785226e+04,1.787546e+04,0.000000e+00,0.000000e+00
2,4.218013e+02,7.322249,-3.185409,-0.487684,-4.687341e+04,2.039141e+04,3.121912e+03,0.000000e+00,0.000000e+00
3,6.178340e+02,7.778017,1.716650,-0.745365,-6.026051e+04,-1.329982e+04,5.774744e+03,0.000000e+00,0.000000e+00
4,6.186883e+02,1.665659,0.080629,7.824262,-1.291368e+04,-6.251112e+02,-6.066070e+04,9.760047e-01,6.038427e+02
5,7.029429e+02,-0.671056,-1.599362,-7.809720,5.545581e+03,1.321706e+04,6.453919e+04,1.592675e+00,1.119560e+03
6,7.195212e+02,-6.981656,-1.192689,-3.719406,5.837250e+04,9.971880e+03,3.109735e+04,5.643854e-01,4.060873e+02
7,1.242752e+03,-1.641088,-5.182342,-5.869426,1.803234e+04,5.694380e+04,6.449350e+04,0.000000e+00,0.000000e+00
8,1.300493e+03,6.560286,2.016607,4.110467,-7.374030e+04,-2.266748e+04,-4.620333e+04,9.185370e-01,1.194551e+03
9,1.347925e+03,0.293739,-7.288808,3.284355,-3.361424e+03,8.340988e+04,-3.758470e+04,8.742106e-01,1.178371e+03
10,1.418586e+03,5.563296,-0.612415,-5.716177,-6.531126e+04,7.189543e+03,6.710602e+04,0.000000e+00,0.000000e+00
11,1.424964e+03,2.544165,1.250060,-7.480947,-2.993473e+04,-1.470825e+04,8.802107e+04,0.000000e+00,0.000000e+00
12,1.561568e+03,-7.351896,3.104337,0.559205,9.055405e+04,-3.823643e+04,-6.887789e+03,1.458356e+00,2.277321e+03
13,1.837678e+03,-0.622884,3.947690,6.930206,8.322811e+03,-5.274797e+04,-9.259956e+04,1.008222e+00,1.852788e+03
14,1.880294e+03,1.210798,-0.907235,7.855628,-1.636488e+04,1.226199e+04,-1.061749e+05,9.946922e-01,1.870314e+03
15,2.088600e+03,-6.738847,-0.191557,4.307116,9.599337e+04,2.728692e+03,-6.135390e+04,1.451304e+00,3.031192e+03
16,2.092450e+03,-2.248000,0.085118,7.677190,3.205177e+04,-1.213598e+03,-1.094606e+05,1.005216e+00,2.103364e+03
17,2.116681e+03,6.687549,3.341530,2.847957,-9.590092e+04,-4.791828e+04,-4.084032e+04,9.310322e-01,1.970698e+03
18,2.162401e+03,6.812767,-4.097687,0.891717,-9.874604e+04,5.939296e+04,-1.292478e+04,7.873514e-01,1.702569e+03
19,2.326176e+03,5.027028,1.636314,-6.004287,-7.557196e+04,-2.459891e+04,9.026321e+04,0.000000e+00,0.000000e+00
20,2.338092e+03,4.683261,4.704813,-4.464505,-7.058414e+04,-7.090897e+04,6.728715e+04,0.000000e+00,0.000000e+00
21,2.359179e+03,-4.172353,-4.417639,-5.203454,6.316689e+04,6.688038e+04,7.877713e+04,0.000000e+00,0.000000e+00
22,2.371574e+03,5.020097,-4.229411,4.572822,-7.620061e+04,6.419871e+04,-6.941138e+04,9.568466e-01,2.269232e+03
23,2.429193e+03,-3.708683,-0.310028,-7.081635,5.697427e+04,4.762767e+03,1.087909e+05,8.665714e-01,2.105069e+03
24,2.486251e+03,4.197759,-6.477876,2.101417,-6.524061e+04,1.006777e+05,-3.265974e+04,9.272976e-01,2.305495e+03
25,2.512621e+03,-4.164990,0.851143,6.777051,6.507370e+04,-1.329824e+04,-1.058845e+05,1.236855e+00,3.107748e+03
26,2.528940e+03,-0.746607,-0.360855,7.956907,1.170278e+04,5.656271e+03,-1.247216e+05,1.003353e+00,2.537421e+03
27,2.564131e+03,-5.686856,0.054309,-5.626431,8.975742e+04,-8.571819e+02,8.880372e+04,8.848309e-01,2.268823e+03
28,2.625771e+03,2.946127,-2.414342,-7.035005,-4.705524e+04,3.856161e+04,1.123624e+05,0.000000e+00,0.000000e+00
29,2.632703e+03,0.739100,3.100149,7.337766,-1.182041e+04,-4.958058e+04,-1.173526e+05,1.004523e+00,2.644610e+03
30,2.875015e+03,-1.186670,7.619905,2.128112,1.983252e+04,-1.273496e+05,-3.556662e+04,9.976582e-01,2.868282e+03
