i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,1.259162e+04,5.374109,5.834810,1.036315,-1.633934e+05,-1.774004e+05,-3.150792e+04,1.005483e+00,1.266066e+04
1,7.020444e+04,1.312008,6.641518,-4.262496,-9.419024e+04,-4.768007e+05,3.060085e+05,1.006160e+00,7.063690e+04
2,3.588675e+04,7.322249,-3.185409,-0.487684,-3.758363e+05,1.635006e+05,2.503184e+04,1.005454e+00,3.608248e+04
3,1.425976e+05,7.778017,1.716650,-0.745365,-7.958152e+05,-1.756407e+05,7.626270e+04,1.005857e+00,1.434329e+05
4,1.100795e+04,1.665659,0.080629,7.824262,-4.735071e+04,-2.292100e+03,-2.224251e+05,7.723164e-01,8.501618e+03
5,4.629490e+04,-0.671056,-1.599362,-7.809720,3.912125e+04,9.323964e+04,4.552912e+05,1.003814e+00,4.647148e+04
6,5.037531e+04,-6.981656,-1.192689,-3.719406,4.245751e+05,7.253094e+04,2.261880e+05,1.006169e+00,5.068607e+04
7,1.361332e+04,-1.641088,-5.182342,-5.869426,5.188013e+04,1.638307e+05,1.855517e+05,1.007684e+00,1.371793e+04
8,1.358925e+05,6.560286,2.016607,4.110467,-6.552512e+05,-2.014217e+05,-4.105596e+05,1.006017e+00,1.367102e+05
9,2.304369e+04,0.293739,-7.288808,3.284355,-1.208163e+04,2.997918e+05,-1.350869e+05,1.006180e+00,2.318610e+04
10,1.151607e+05,5.563296,-0.612415,-5.716177,-5.115306e+05,5.630992e+04,5.255876e+05,7.108415e-01,8.186103e+04
11,5.447853e+04,2.544165,1.250060,-7.480947,-1.608960e+05,-7.905528e+04,4.731039e+05,1.264771e+00,6.890285e+04
12,1.575297e+04,-7.351896,3.104337,0.559205,2.500160e+05,-1.055692e+05,-1.901691e+04,1.005787e+00,1.584414e+04
13,5.398338e+04,-0.622884,3.947690,6.930206,3.921250e+04,-2.485194e+05,-4.362781e+05,1.006769e+00,5.434876e+04
14,9.670508e+04,1.210798,-0.907235,7.855628,-1.020196e+05,7.644195e+04,-6.619006e+05,9.904395e-01,9.578053e+04
15,3.340114e+03,-6.738847,-0.191557,4.307116,1.055245e+05,2.999623e+03,-6.744572e+04,9.606771e-01,3.208771e+03
16,1.688947e+04,-2.248000,0.085118,7.677190,7.915740e+04,-2.997191e+03,-2.703320e+05,9.869623e-01,1.666927e+04
17,8.895859e+04,6.687549,3.341530,2.847957,-5.404408e+05,-2.700391e+05,-2.301519e+05,1.005968e+00,8.948948e+04
18,5.270045e+04,6.812767,-4.097687,0.891717,-4.237580e+05,2.548785e+05,-5.546531e+04,1.005834e+00,5.300792e+04
19,9.201777e+03,5.027028,1.636314,-6.004287,-1.306575e+05,-4.252944e+04,1.560575e+05,8.899607e-01,8.189220e+03
20,1.093999e+04,4.683261,4.704813,-4.464505,-1.327223e+05,-1.333331e+05,1.265228e+05,1.004351e+00,1.098759e+04
21,1.106450e+01,-4.172353,-4.417639,-5.203454,3.760401e+03,3.981469e+03,4.689697e+03,1.853638e+00,2.050958e+01
22,1.773791e+05,5.020097,-4.229411,4.572822,-5.728627e+05,4.826345e+05,-5.218225e+05,1.006066e+00,1.784552e+05
23,4.351264e+00,-3.708683,-0.310028,-7.081635,2.096113e+03,1.752246e+02,4.002473e+03,2.360597e-01,1.027158e+00
24,2.433667e+00,4.197759,-6.477876,2.101417,-1.774333e+03,2.738107e+03,-8.882392e+02,2.083753e-02,5.071160e-02
25,3.883712e+04,-4.164990,0.851143,6.777051,2.223948e+05,-4.544786e+04,-3.618691e+05,9.546701e-01,3.707664e+04
26,8.293385e+03,-0.746607,-0.360855,7.956907,1.842235e+04,8.904017e+03,-1.963348e+05,8.469368e-01,7.023973e+03
27,2.803909e+04,-5.686856,0.054309,-5.626431,2.580129e+05,-2.464019e+03,2.552714e+05,1.006593e+00,2.822396e+04
28,4.143072e+04,2.946127,-2.414342,-7.035005,-1.624800e+05,1.331518e+05,3.879831e+05,1.002145e+00,4.151961e+04
29,1.270012e+05,0.739100,3.100149,7.337766,-7.136651e+04,-2.993461e+05,-7.085246e+05,1.006484e+00,1.278247e+05
30,1.439590e+05,-1.186670,7.619905,2.128112,1.219934e+05,-7.833506e+05,-2.187767e+05,1.006091e+00,1.448358e+05
31,3.281081e+04,-1.367523,-5.301197,5.833283,6.711666e+04,2.601774e+05,-2.862917e+05,1.006701e+00,3.303067e+04
32,8.680871e+03,-2.925177,6.474259,-3.677949,7.384498e+04,-1.634402e+05,9.284843e+04,1.006575e+00,8.737945e+03
33,7.649632e+03,-3.138961,-6.819774,2.763622,7.438638e+04,1.616134e+05,-6.549169e+04,1.006449e+00,7.698963e+03
34,5.083315e+04,2.239337,2.983805,-7.076883,-1.367981e+05,-1.822767e+05,4.323174e+05,1.006741e+00,5.117582e+04
35,4.471695e+04,3.450468,-0.992849,7.149023,-1.976975e+05,5.688616e+04,-4.096095e+05,1.006613e+00,4.501267e+04
36,8.028952e+03,-6.581989,4.248959,-1.619805,1.597989e+05,-1.031571e+05,3.932596e+04,1.006064e+00,8.077643e+03
37,1.006357e+05,-0.972814,0.070325,-7.940320,8.361674e+04,-6.044717e+03,6.824977e+05,1.058329e+00,1.065057e+05
38,1.032236e+05,2.281723,6.986139,-3.160317,-1.986276e+05,-6.081545e+05,2.751107e+05,1.006094e+00,1.038526e+05
39,2.975687e+04,-2.697425,-3.774866,-6.517230,1.260754e+05,1.764340e+05,3.046098e+05,1.007090e+00,2.996786e+04
40,1.018553e+04,-4.715940,0.703502,6.423783,1.289577e+05,-1.923731e+04,-1.756588e+05,9.034369e-01,9.201984e+03
41,7.508753e+03,2.814009,-1.999630,7.216844,-6.606883e+04,4.694840e+04,-1.694410e+05,1.006850e+00,7.560190e+03
42,1.203911e+05,-2.377674,1.502366,-7.489297,2.235305e+05,-1.412408e+05,7.040857e+05,1.006550e+00,1.211797e+05
43,3.771149e+02,3.823259,6.212548,3.284347,-2.011675e+04,-3.268841e+04,-1.728117e+04,9.914518e-01,3.738912e+02
44,1.327752e+04,5.234348,5.945433,1.119563,-1.634212e+05,-1.856219e+05,-3.495380e+04,1.005548e+00,1.335118e+04
45,2.590659e+04,-1.628092,0.503105,-7.816406,7.100211e+04,-2.194072e+04,3.408784e+05,1.011289e+00,2.619904e+04
46,5.621492e+02,0.489114,2.204324,-7.674746,-3.142122e+03,-1.416082e+04,4.930342e+04,1.914462e+00,1.076213e+03
47,8.102136e+04,5.131721,-6.135392,-0.149679,-3.957765e+05,4.731832e+05,1.154375e+04,1.006000e+00,8.150750e+04
