i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,2.664986e-01,5.374109,5.834810,1.036315,-2.995523e+03,-3.252317e+03,-5.776410e+02,0.000000e+00,0.000000e+00
1,1.287730e+00,1.312008,6.641518,-4.262496,-1.607561e+03,-8.137640e+03,5.222700e+03,0.000000e+00,0.000000e+00
2,2.093925e+00,7.322249,-3.185409,-0.487684,-1.144047e+04,4.976963e+03,7.619699e+02,0.000000e+00,0.000000e+00
3,3.419491e+00,7.778017,1.716650,-0.745365,-1.552989e+04,-3.427529e+03,1.488224e+03,0.000000e+00,0.000000e+00
4,3.855084e+00,1.665659,0.080629,7.824262,-3.531195e+03,-1.709342e+02,-1.658743e+04,0.000000e+00,0.000000e+00
5,4.240693e+00,-0.671056,-1.599362,-7.809720,1.492094e+03,3.556182e+03,1.736491e+04,2.120521e-01,8.992479e-01
6,4.265982e+00,-6.981656,-1.192689,-3.719406,1.556993e+04,2.659839e+03,8.294719e+03,5.407259e-01,2.306727e+00
7,5.566252e+00,-1.641088,-5.182342,-5.869426,4.180535e+03,1.320159e+04,1.495188e+04,7.915181e-01,4.405789e+00
8,5.625028e+00,6.560286,2.016607,4.110467,-1.679979e+04,-5.164190e+03,-1.052621e+04,0.000000e+00,0.000000e+00
9,7.591712e+00,0.293739,-7.288808,3.284355,-8.738781e+02,2.168428e+04,-9.770993e+03,7.228175e-21,5.487423e-20
10,7.727454e+00,5.563296,-0.612415,-5.716177,-1.669818e+04,1.838156e+03,1.715705e+04,0.000000e+00,0.000000e+00
11,8.199206e+00,2.544165,1.250060,-7.480947,-7.865927e+03,-3.864876e+03,2.312923e+04,0.000000e+00,0.000000e+00
12,8.269578e+00,-7.351896,3.104337,0.559205,2.282757e+04,-9.638939e+03,-1.736328e+03,0.000000e+00,0.000000e+00
13,8.977396e+00,-0.622884,3.947690,6.930206,2.015121e+03,-1.277135e+04,-2.242023e+04,0.000000e+00,0.000000e+00
14,9.409950e+00,1.210798,-0.907235,7.855628,-4.010368e+03,3.004916e+03,-2.601916e+04,0.000000e+00,0.000000e+00
15,9.485329e+00,-6.738847,-0.191557,4.307116,2.240941e+04,6.370064e+02,-1.432292e+04,0.000000e+00,0.000000e+00
16,9.561008e+00,-2.248000,0.085118,7.677190,7.505280e+03,-2.841775e+02,-2.563143e+04,0.000000e+00,0.000000e+00
17,1.004606e+01,6.687549,3.341530,2.847957,-2.288673e+04,-1.143568e+04,-9.746531e+03,0.000000e+00,0.000000e+00
18,1.008497e+01,6.812767,-4.097687,0.891717,-2.336036e+04,1.405060e+04,-3.057616e+03,0.000000e+00,0.000000e+00
19,1.012497e+01,5.027028,1.636314,-6.004287,-1.727138e+04,-5.621888e+03,2.062895e+04,0.000000e+00,0.000000e+00
20,1.070404e+01,4.683261,4.704813,-4.464505,-1.654401e+04,-1.662015e+04,1.577124e+04,0.000000e+00,0.000000e+00
21,1.074419e+01,-4.172353,-4.417639,-5.203454,1.476681e+04,1.563493e+04,1.841608e+04,9.924894e-01,1.066350e+01
22,1.082473e+01,5.020097,-4.229411,4.572822,-1.783361e+04,1.502475e+04,-1.624469e+04,0.000000e+00,0.000000e+00
23,1.090557e+01,-3.708683,-0.310028,-7.081635,1.322399e+04,1.105460e+03,2.525087e+04,6.591442e-01,7.188340e+00
24,1.129921e+01,4.197759,-6.477876,2.101417,-1.523562e+04,2.351123e+04,-7.627019e+03,0.000000e+00,0.000000e+00
25,1.212413e+01,-4.164990,0.851143,6.777051,1.565878e+04,-3.199976e+03,-2.547914e+04,0.000000e+00,0.000000e+00
26,1.220967e+01,-0.746607,-0.360855,7.956907,2.816842e+03,1.361456e+03,-3.002030e+04,0.000000e+00,0.000000e+00
27,1.229552e+01,-5.686856,0.054309,-5.626431,2.153100e+04,-2.056207e+02,2.130223e+04,7.034796e-01,8.649645e+00
28,1.271328e+01,2.946127,-2.414342,-7.035005,-1.134224e+04,9.294931e+03,2.708394e+04,2.070234e-01,2.631946e+00
29,1.367796e+01,0.739100,3.100149,7.337766,-2.951432e+03,-1.237975e+04,-2.930173e+04,0.000000e+00,0.000000e+00
30,1.416329e+01,-1.186670,7.619905,2.128112,4.822037e+03,-3.096352e+04,-8.647591e+03,0.000000e+00,0.000000e+00
31,1.420947e+01,-1.367523,-5.301197,5.833283,5.565988e+03,2.157653e+04,-2.374219e+04,0.000000e+00,0.000000e+00
32,1.458288e+01,-2.925177,6.474259,-3.677949,1.206125e+04,-2.669503e+04,1.516513e+04,0.000000e+00,0.000000e+00
33,1.462975e+01,-3.138961,-6.819774,2.763622,1.296352e+04,2.816482e+04,-1.141342e+04,3.528108e-01,5.161533e+00
34,1.489523e+01,2.239337,2.983805,-7.076883,-9.331719e+03,-1.243405e+04,2.949065e+04,1.182489e-09,1.761344e-08
35,1.494259e+01,3.450468,-0.992849,7.149023,-1.440156e+04,4.143954e+03,-2.983859e+04,0.000000e+00,0.000000e+00
36,1.508512e+01,-6.581989,4.248959,-1.619805,2.760262e+04,-1.781868e+04,6.792909e+03,4.281116e-02,6.458117e-01
37,1.527622e+01,-0.972814,0.070325,-7.940320,4.105412e+03,-2.967833e+02,3.350925e+04,5.039782e-01,7.698884e+00
38,1.532419e+01,2.281723,6.986139,-3.160317,-9.644290e+03,-2.952872e+04,1.335790e+04,0.000000e+00,0.000000e+00
39,1.569286e+01,-2.697425,-3.774866,-6.517230,1.153770e+04,1.614624e+04,2.787615e+04,9.275346e-01,1.455567e+01
40,1.574148e+01,-4.715940,0.703502,6.423783,2.020271e+04,-3.013747e+03,-2.751898e+04,0.000000e+00,0.000000e+00
41,1.583893e+01,2.814009,-1.999630,7.216844,-1.209225e+04,8.592732e+03,-3.101193e+04,0.000000e+00,0.000000e+00
42,1.593668e+01,-2.377674,1.502366,-7.489297,1.024872e+04,-6.475797e+03,3.228186e+04,4.662473e-01,7.430433e+00
43,1.613438e+01,3.823259,6.212548,3.284347,-1.658168e+04,-2.694415e+04,-1.424439e+04,0.000000e+00,0.000000e+00
44,1.623303e+01,5.234348,5.945433,1.119563,-2.277095e+04,-2.586438e+04,-4.870429e+03,0.000000e+00,0.000000e+00
